主域	序號	NewsBox ID	NewsBox正式名稱	UI短名	Source Key	Endpoint/SubSource	來源名稱	類型	Source Role	UI顯示	第一版	施工批次	刷新週期min	抓取方式	入口URL	Parser檔名	舊Fetch檔名	舊輸出檔	URL狀態	舊邏輯參考	舊碼來源URL	保留	備註	需你核
A 政府政策	1	A1	政府主源	政府公布	a_gcs	web	GCS 新聞局 / 澳門特區政府新聞局	官方	primary	Y	Y	P0	30	舊邏輯參考	https://www.gcs.gov.mo/list/zh-hant/news/	parse_a_gcs.js	fetch_gcs_rss_cb.js	./data/fetch_gcs.json	已由舊碼回收	主來源 HTML/Cheerio；選擇 .infiniteItem；title=.subject .txt，abstract=.baseSize，date=time[datetime]，href=a.baseInfo；主站失敗轉 RSS。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcs_rss_cb.js	Y	RSS 為 endpoint，不另做 source。	
A 政府政策	2	A1	政府主源	政府公布	a_gcs	rss	GCS RSS	官方RSS	backup	N	Y	P0	30	舊邏輯參考	https://govinfohub.gcs.gov.mo/api/rss/n/zh-hant	parse_a_gcs.js	fetch_gcs_rss_cb.js	./data/fetch_gcs.json	已由舊碼回收	GCS backup endpoint；用 XML item 解析 title/pubDate/link/description；主站失敗才用。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcs_rss_cb.js	Y	不顯示 UI icon；不生成 fetch_a_gcs_rss.json。	
A 政府政策	3	A1	政府主源	政府公布	a_gcseng	web	GCS 工程房屋類新聞	官方分類	primary	Y	Y	P0	30	舊邏輯參考	https://www.gcs.gov.mo/list/zh-hant/news/%E5%B7%A5%E7%A8%8B%E6%88%BF%E5%B1%8B	parse_a_gcseng.js	fetch_gcseng_ws.js	./data/fetch_gcseng_ws.json	已由舊碼回收	HTML/Cheerio；table.infiniteDataView tr.infiniteItem；title=.captionSize .txt，author=.dept，abstract=.baseSize，date=time[datetime]，link=a.baseInfo。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcseng_ws.js	Y	按你分組保留在 A1。	
A 政府政策	4	A1	政府主源	政府公布	a_dsscu	web_or_jina	DSSCU 數字安全 / 網安中心	官方	primary	Y	Y	P0	60	舊邏輯參考	https://r.jina.ai/https://www.dsscu.gov.mo/zh/latestnews/newslist?page=1&termSlug=news	parse_a_dsscu.js	fetch_dsscu_ws_adv3.js	./data/fetch_dsscu_ws.json	已由舊碼回收	Jina Markdown；定位「新聞及消息」區塊；regex 抽上載日期與標題；先查 dsscu_ws_add.json，本地無則 Google CSE，再 Serper，最後 default URL；更新補鏈 JSON。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_dsscu_ws_adv3.js	Y	舊碼含 API key，重建時必須改 .env。	
A 政府政策	5	A1	政府主源	政府公布	a_al	written	澳門立法會書面質詢	官方	primary	Y	Y	P1	120	舊邏輯參考	https://www.al.gov.mo/zh/written-consultation	parse_a_al_wc.js	fetch_al_ws_cb.js	./data/fetch_al_ws.json	已由舊碼回收	HTML/Cheerio；抓 table tbody tr；td 內取 date/name/summary/category/number/advisory PDF/reply PDF；組成「[回覆]/[沒有回覆]」標題。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_al_ws_cb.js	Y	Endpoint 改 written；同一 sourceKey，輸出 fetch_a_al.json。	
A 政府政策	6	A1	政府主源	政府公布	a_al	oral	澳門立法會口頭質詢	官方	primary	Y	Y	P1	120	舊邏輯參考	https://www.al.gov.mo/zh/oral-consultation	parse_a_al_oc.js	fetch_al_ws_cb.js	./data/fetch_al_ws.json	已由舊碼回收	HTML/Cheerio；抓 table tbody tr；td 內取 date/name/summary/category/number/advisory PDF/reply PDF；組成「[回覆]/[沒有回覆]」標題。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_al_ws_cb.js	Y	Endpoint 改 oral；同一 sourceKey，輸出 fetch_a_al.json。	
A 政府政策	7	A2	本地中文媒體	中文新聞	a_tdm	jina	TDM 澳廣視	公營媒體	primary	Y	Y	P0	20	舊邏輯參考	https://r.jina.ai/https://www.tdm.com.mo/zh-hant/news-list?type=image&category=all&page=1&date={YYYY-MM-DD}	parse_a_tdm.js	fetch_tdm_ws_jina.js	./data/fetch_tdm_ws_jina.json	已由舊碼回收	Jina Markdown；大圖 line starts '[![' 且有 ----------；小圖 line starts '*' 且有 ####；抽 title/link/date。另有 Puppeteer 版 fetch_tdm_ws_cb.js 可備用。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_tdm_ws_jina.js	Y	日期為每日動態參數。	
A 政府政策	8	A2	本地中文媒體	中文新聞	a_tdm	web	TDM 澳廣視 Puppeteer 備用	公營媒體	backup	N	Y	P1	20	舊邏輯參考	https://www.tdm.com.mo/zh-hant/news-list?type=image&category=all&page=1&date={YYYY-MM-DD}	parse_a_tdm.js	fetch_tdm_ws_cb.js	./data/fetch_tdm_ws_cb.json	已由舊碼回收	Puppeteer；抓 bigPic + smallNews；page.evaluate 擷取 content_item。作為 Jina 不穩時的舊邏輯參考。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_tdm_ws_cb.js	Y	backup endpoint，不作 UI source。	
A 政府政策	9	A2	本地中文媒體	中文新聞	a_macau_daily	web	澳門日報	本地媒體	primary	Y	Y	P0	20	舊邏輯參考	https://www.modaily.cn/amucsite/web/index.html	parse_a_macau_daily.js	fetch_macaodaily_ws_cb.js	./data/fetch_macaodaily.json	已由舊碼回收	主站 Puppeteer；selector #mainContents div.conWidth.mianConLeft > div；取 h3、ul>li:nth-child(2)、img src ID 拼 detail URL；失敗用 Jina markdown 備援。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_macaodaily_ws_cb.js	Y		
A 政府政策	10	A2	本地中文媒體	中文新聞	a_macau_daily	jina	澳門日報 Jina 備援	本地媒體	backup	N	Y	P0	20	舊邏輯參考	https://r.jina.ai/https://www.modaily.cn/amucsite/web/index.html	parse_a_macau_daily.js	fetch_macaodaily_ws_cb.js	./data/fetch_macaodaily.json	已由舊碼回收	備援 Markdown；解析 ##/### 標題、下一行 pubDate、圖片 URL 內 ID 拼 detail link。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_macaodaily_ws_cb.js	Y	backup endpoint。	
